neurons,accuracy,sensitivity,specificity
2,0.4648,0.0,1.0
4,0.4648,0.0,1.0
6,0.4648,0.0,1.0
8,0.5352,1.0,0.0
10,0.5352,1.0,0.0
12,0.4648,0.0,1.0
14,0.4648,0.0,1.0
16,0.5352,1.0,0.0
18,0.5352,1.0,0.0
20,0.4648,0.0,1.0
22,0.4648,0.0,1.0
24,0.5352,1.0,0.0
26,0.5352,1.0,0.0
